cmd logfilename ps_name
u0_a198   4250  373   1845412 92924 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 17:18:39.591  4250 20982 D backLeftVelocity: : 1740.0
03-08 17:18:39.591  4250 20982 D backRightVelocity: : 1700.0
03-08 17:18:39.601  4250 20982 D frontLeftVelocity: : 1720.0
03-08 17:18:39.601  4250 20982 D frontRightVelocity: : 1700.0
03-08 17:18:39.631  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.631  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.631  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.631  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.641  4250 20982 D backLeftVelocity: : 1720.0
03-08 17:18:39.641  4250 20982 D backRightVelocity: : 1740.0
03-08 17:18:39.651  4250 20982 D frontLeftVelocity: : 1720.0
03-08 17:18:39.651  4250 20982 D frontRightVelocity: : 1700.0
03-08 17:18:39.681  4250 20982 D backLeftPower: : 0.7071067811865476
03-08 17:18:39.681  4250 20982 D backRightPower: : 0.7071067811865475
03-08 17:18:39.681  4250 20982 D frontLeftPower: : 0.7071067811865475
03-08 17:18:39.681  4250 20982 D frontRightPower: : 0.7071067811865476
03-08 17:18:39.691  4250 20982 D backLeftVelocity: : 1720.0
03-08 17:18:39.691  4250 20982 D backRightVelocity: : 1760.0
03-08 17:18:39.701  4250 20982 D frontLeftVelocity: : 1740.0
03-08 17:18:39.711  4250 20982 D frontRightVelocity: : 1760.0
03-08 17:18:39.751  4250 20982 D backLeftPower: : 0.0
03-08 17:18:39.751  4250 20982 D backRightPower: : 0.0
03-08 17:18:39.751  4250 20982 D frontLeftPower: : 0.0
03-08 17:18:39.751  4250 20982 D frontRightPower: : 0.0
03-08 17:18:39.761  4250 20982 D backLeftVelocity: : 1760.0
03-08 17:18:39.761  4250 20982 D backRightVelocity: : 1720.0
03-08 17:18:39.771  4250 20982 D frontLeftVelocity: : 1220.0
03-08 17:18:39.781  4250 20982 D frontRightVelocity: : 1280.0
03-08 17:18:39.811  4250 20982 D backLeftPower: : 0.0
03-08 17:18:39.811  4250 20982 D backRightPower: : 0.0
03-08 17:18:39.811  4250 20982 D frontLeftPower: : 0.0
03-08 17:18:39.811  4250 20982 D frontRightPower: : 0.0
03-08 17:18:39.811  4250 20982 D backLeftVelocity: : 1460.0
03-08 17:18:39.811  4250 20982 D backRightVelocity: : 740.0
03-08 17:18:39.821  4250 20982 D frontLeftVelocity: : 1060.0
03-08 17:18:39.821  4250 20982 D frontRightVelocity: : 880.0
03-08 17:18:39.841  4250 20982 D backLeftPower: : 0.0
03-08 17:18:39.841  4250 20982 D backRightPower: : 0.0
03-08 17:18:39.841  4250 20982 D frontLeftPower: : 0.0
03-08 17:18:39.851  4250 20982 D frontRightPower: : 0.0
03-08 17:18:39.861  4250 20982 D backLeftVelocity: : 680.0
03-08 17:18:39.861  4250 20982 D backRightVelocity: : 420.0
03-08 17:18:39.871  4250 20982 D frontLeftVelocity: : 1060.0
03-08 17:18:39.871  4250 20982 D frontRightVelocity: : 840.0
03-08 17:18:39.901  4250 20982 D backLeftPower: : 0.0
03-08 17:18:39.901  4250 20982 D backRightPower: : 0.0
03-08 17:18:39.901  4250 20982 D frontLeftPower: : 0.0
03-08 17:18:39.901  4250 20982 D frontRightPower: : 0.0
03-08 17:18:39.901  4250 20982 D backLeftVelocity: : 620.0
03-08 17:18:39.911  4250 20982 D backRightVelocity: : 360.0
03-08 17:18:39.911  4250 20982 D frontLeftVelocity: : 940.0
03-08 17:18:39.921  4250 20982 D frontRightVelocity: : 820.0
03-08 17:18:39.971  4250 20982 D backLeftPower: : 0.0
03-08 17:18:39.971  4250 20982 D backRightPower: : 0.0
03-08 17:18:39.971  4250 20982 D frontLeftPower: : 0.0
03-08 17:18:39.971  4250 20982 D frontRightPower: : 0.0
03-08 17:18:39.971  4250 20982 D backLeftVelocity: : 540.0
03-08 17:18:39.981  4250 20982 D backRightVelocity: : 280.0
03-08 17:18:39.981  4250 20982 D frontLeftVelocity: : 780.0
03-08 17:18:39.991  4250 20982 D frontRightVelocity: : 700.0
03-08 17:18:40.061  4250 20982 D backLeftPower: : -0.06991419329752317
03-08 17:18:40.061  4250 20982 D backRightPower: : -0.06991419329752314
03-08 17:18:40.061  4250 20982 D frontLeftPower: : -0.06991419329752314
03-08 17:18:40.071  4250 20982 D frontRightPower: : -0.06991419329752317
03-08 17:18:40.081  4250 20982 D backLeftVelocity: : 400.0
03-08 17:18:40.081  4250 20982 D backRightVelocity: : 320.0
03-08 17:18:40.091  4250 20982 D frontLeftVelocity: : 500.0
03-08 17:18:40.091  4250 20982 D frontRightVelocity: : 440.0
03-08 17:18:40.121  4250 20982 D backLeftPower: : -0.06991419329752317
03-08 17:18:40.121  4250 20982 D backRightPower: : -0.06991419329752314
03-08 17:18:40.121  4250 20982 D frontLeftPower: : -0.06991419329752314
03-08 17:18:40.121  4250 20982 D frontRightPower: : -0.06991419329752317
03-08 17:18:40.131  4250 20982 D backLeftVelocity: : 260.0
03-08 17:18:40.131  4250 20982 D backRightVelocity: : 100.0
03-08 17:18:40.141  4250 20982 D frontLeftVelocity: : 280.0
03-08 17:18:40.141  4250 20982 D frontRightVelocity: : 220.0
