cmd logfilename ps_name
u0_a198   4250  373   1854440 94672 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:42:50.381  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.391  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.411  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.411  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.411  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.411  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.421  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.421  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.421  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.431  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.451  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.451  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.451  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.451  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.461  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.461  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.461  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.471  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.491  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.491  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.491  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.491  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.501  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.501  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.511  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.511  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.551  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.551  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.551  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.551  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.561  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.561  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.571  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.571  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.601  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.601  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.601  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.601  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.611  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.611  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.611  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.621  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.651  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.651  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.651  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.651  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.651  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.661  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.671  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.671  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.711  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.711  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.711  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.711  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.721  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.721  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.731  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.741  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.781  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.781  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.781  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.781  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.791  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.791  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.791  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.801  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.831  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.831  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.831  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.831  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.841  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.841  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.851  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.851  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.881  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.881  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.881  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.881  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.881  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.881  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.891  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.891  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.921  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.921  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.921  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.921  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.931  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.931  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:50.941  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:50.941  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:50.981  4250 16323 D backLeftPower: : 0.0
03-08 16:42:50.981  4250 16323 D backRightPower: : 0.0
03-08 16:42:50.981  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:50.991  4250 16323 D frontRightPower: : 0.0
03-08 16:42:50.991  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:50.991  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.001  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.011  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.041  4250 16323 D backLeftPower: : 0.0
03-08 16:42:51.041  4250 16323 D backRightPower: : 0.0
03-08 16:42:51.041  4250 16323 D frontLeftPower: : 0.0
03-08 16:42:51.041  4250 16323 D frontRightPower: : 0.0
03-08 16:42:51.051  4250 16323 D backLeftVelocity: : -0.0
03-08 16:42:51.051  4250 16323 D backRightVelocity: : 0.0
03-08 16:42:51.061  4250 16323 D frontLeftVelocity: : -0.0
03-08 16:42:51.061  4250 16323 D frontRightVelocity: : 0.0
03-08 16:42:51.101  4250 16323 D backLeftPower: : 0.0
