cmd logfilename ps_name
u0_a198   4250  373   1845412 94128 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 17:30:08.521  4250 22877 D frontRightVelocity: : 1340.0
03-08 17:30:08.551  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.551  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.551  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.551  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.561  4250 22877 D backLeftVelocity: : 1360.0
03-08 17:30:08.561  4250 22877 D backRightVelocity: : 1400.0
03-08 17:30:08.561  4250 22877 D frontLeftVelocity: : 1400.0
03-08 17:30:08.571  4250 22877 D frontRightVelocity: : 1400.0
03-08 17:30:08.591  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.591  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.591  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.591  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.601  4250 22877 D backLeftVelocity: : 1400.0
03-08 17:30:08.601  4250 22877 D backRightVelocity: : 1480.0
03-08 17:30:08.611  4250 22877 D frontLeftVelocity: : 1460.0
03-08 17:30:08.611  4250 22877 D frontRightVelocity: : 1480.0
03-08 17:30:08.641  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.641  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.641  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.641  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.651  4250 22877 D backLeftVelocity: : 1500.0
03-08 17:30:08.651  4250 22877 D backRightVelocity: : 1520.0
03-08 17:30:08.661  4250 22877 D frontLeftVelocity: : 1520.0
03-08 17:30:08.671  4250 22877 D frontRightVelocity: : 1540.0
03-08 17:30:08.701  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.701  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.701  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.701  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.701  4250 22877 D backLeftVelocity: : 1540.0
03-08 17:30:08.711  4250 22877 D backRightVelocity: : 1520.0
03-08 17:30:08.721  4250 22877 D frontLeftVelocity: : 1580.0
03-08 17:30:08.721  4250 22877 D frontRightVelocity: : 1540.0
03-08 17:30:08.751  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.751  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.751  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.751  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.761  4250 22877 D backLeftVelocity: : 1600.0
03-08 17:30:08.761  4250 22877 D backRightVelocity: : 1600.0
03-08 17:30:08.771  4250 22877 D frontLeftVelocity: : 1600.0
03-08 17:30:08.781  4250 22877 D frontRightVelocity: : 1560.0
03-08 17:30:08.821  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.821  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.821  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.821  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.821  4250 22877 D backLeftVelocity: : 1580.0
03-08 17:30:08.831  4250 22877 D backRightVelocity: : 1640.0
03-08 17:30:08.831  4250 22877 D frontLeftVelocity: : 1660.0
03-08 17:30:08.841  4250 22877 D frontRightVelocity: : 1620.0
03-08 17:30:08.881  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.881  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.881  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.881  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.901  4250 22877 D backLeftVelocity: : 1660.0
03-08 17:30:08.901  4250 22877 D backRightVelocity: : 1640.0
03-08 17:30:08.911  4250 22877 D frontLeftVelocity: : 1660.0
03-08 17:30:08.911  4250 22877 D frontRightVelocity: : 1680.0
03-08 17:30:08.951  4250 22877 D backLeftPower: : 0.7071067811865476
03-08 17:30:08.951  4250 22877 D backRightPower: : 0.7071067811865475
03-08 17:30:08.951  4250 22877 D frontLeftPower: : 0.7071067811865475
03-08 17:30:08.951  4250 22877 D frontRightPower: : 0.7071067811865476
03-08 17:30:08.951  4250 22877 D backLeftVelocity: : 1700.0
03-08 17:30:08.961  4250 22877 D backRightVelocity: : 1660.0
