cmd logfilename ps_name
u0_a198   4250  373   1845928 90368 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity] 
03-08 16:24:25.811   928  1604 I am_proc_bound: [0,4250,com.qualcomm.ftcrobotcontroller] 
03-08 16:24:49.631   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,109678592,108158976] 
03-08 16:24:50.371  4250  4250 I am_on_resume_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity] 
03-08 16:24:50.811  4250  4250 I am_on_paused_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity] 
03-08 16:25:20.451   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,59828224,57909248] 
03-08 16:26:16.371  4250  4250 I am_on_resume_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity] 
03-08 16:26:26.391   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,57362432,55517184] 
03-08 16:27:45.901  4250  4250 I am_on_paused_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity] 
03-08 16:28:10.511   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,37176320,35164160] 
03-08 16:30:33.091  4250  4250 I am_on_resume_called: [0,org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity] 
03-08 16:30:45.071   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,63613952,61685760] 
03-08 16:33:00.111   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,69243904,67211264] 
03-08 16:35:00.251   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,86147072,84107264] 
03-08 16:37:00.121   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,86777856,84733952] 
03-08 16:39:00.131   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,85518336,83472384] 
03-08 16:41:00.261   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,77092864,75046912] 
03-08 16:43:00.151   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,77934592,75886592] 
03-08 16:45:00.381   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,77182976,75137024] 
03-08 16:47:00.151   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,81262592,79216640] 
03-08 16:49:00.221   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,85117952,83136512] 
03-08 16:51:00.151   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,80070656,78090240] 
03-08 16:53:00.171   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,85104640,83124224] 
03-08 16:55:00.281   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,80606208,78594048] 
03-08 16:57:00.331   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,85185536,83156992] 
03-08 16:59:00.161   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,81174528,79126528] 
03-08 17:01:00.221   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,79113216,76972032] 
03-08 17:03:00.301   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,82004992,79855616] 
03-08 17:05:00.201   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,79604736,77430784] 
03-08 17:07:00.181   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,82708480,80531456] 
03-08 17:09:00.171   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,80353280,78176256] 
03-08 17:11:00.281   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,83899392,81723392] 
03-08 17:13:00.171   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,81203200,79028224] 
03-08 17:15:00.241   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,85105664,82931712] 
03-08 17:17:00.171   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,82121728,79945728] 
03-08 17:19:00.211   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,86244352,84066304] 
03-08 17:21:07.221   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,86240256,84062208] 
03-08 17:23:07.361   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,82729984,80551936] 
03-08 17:25:07.481   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,85108736,82853888] 
03-08 17:27:07.641   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,83639296,81403904] 
03-08 17:29:07.791   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,81894400,79659008] 
03-08 17:31:21.641   928  1005 I am_pss  : [4250,10198,com.qualcomm.ftcrobotcontroller,83269632,81035264] 
03-08 17:31:55.681  4250  6481 V Robocol : received command: CMD_SET_MATCH_NUMBER(59712) 0 
03-08 17:31:55.681  4250  6481 V Robocol : received command: CMD_INIT_OP_MODE(59713) TeleOp 
03-08 17:31:55.711  4250  6480 I RobotCore: ******************** START - OPMODE TeleOp ******************** 
03-08 17:31:55.711  4250 14807 I RobotCore: Attempting to switch to op mode TeleOp 
03-08 17:32:19.721  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:19.721  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:19.731  4250 23277 D backLeftVelocity: : 1540.0
03-08 17:32:19.731  4250 23277 D backRightVelocity: : 1600.0
03-08 17:32:19.731  4250 23277 D frontLeftVelocity: : 1580.0
03-08 17:32:19.741  4250 23277 D frontRightVelocity: : 1600.0
03-08 17:32:19.761  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:19.761  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:19.761  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:19.761  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:19.771  4250 23277 D backLeftVelocity: : 1580.0
03-08 17:32:19.771  4250 23277 D backRightVelocity: : 1640.0
03-08 17:32:19.781  4250 23277 D frontLeftVelocity: : 1620.0
03-08 17:32:19.781  4250 23277 D frontRightVelocity: : 1600.0
03-08 17:32:19.811  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:19.811  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:19.811  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:19.811  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:19.821  4250 23277 D backLeftVelocity: : 1640.0
03-08 17:32:19.831  4250 23277 D backRightVelocity: : 1660.0
03-08 17:32:19.831  4250 23277 D frontLeftVelocity: : 1640.0
03-08 17:32:19.841  4250 23277 D frontRightVelocity: : 1580.0
03-08 17:32:19.901  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:19.901  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:19.901  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:19.901  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:19.901  4250 23277 D backLeftVelocity: : 1620.0
03-08 17:32:19.901  4250 23277 D backRightVelocity: : 1660.0
03-08 17:32:19.911  4250 23277 D frontLeftVelocity: : 1660.0
03-08 17:32:19.911  4250 23277 D frontRightVelocity: : 1640.0
03-08 17:32:19.931  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:19.931  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:19.931  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:19.931  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:19.941  4250 23277 D backLeftVelocity: : 1660.0
03-08 17:32:19.941  4250 23277 D backRightVelocity: : 1700.0
03-08 17:32:19.951  4250 23277 D frontLeftVelocity: : 1700.0
03-08 17:32:19.951  4250 23277 D frontRightVelocity: : 1700.0
03-08 17:32:19.981  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:19.981  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:19.981  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:19.981  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:19.981  4250 23277 D backLeftVelocity: : 1700.0
03-08 17:32:19.981  4250 23277 D backRightVelocity: : 1700.0
03-08 17:32:19.991  4250 23277 D frontLeftVelocity: : 1720.0
03-08 17:32:19.991  4250 23277 D frontRightVelocity: : 1720.0
03-08 17:32:20.021  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.021  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.021  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.021  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.031  4250 23277 D backLeftVelocity: : 1720.0
03-08 17:32:20.031  4250 23277 D backRightVelocity: : 1760.0
03-08 17:32:20.041  4250 23277 D frontLeftVelocity: : 1700.0
03-08 17:32:20.041  4250 23277 D frontRightVelocity: : 1680.0
03-08 17:32:20.091  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.091  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.091  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.101  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.101  4250 23277 D backLeftVelocity: : 1700.0
03-08 17:32:20.111  4250 23277 D backRightVelocity: : 1740.0
03-08 17:32:20.111  4250 23277 D frontLeftVelocity: : 1720.0
03-08 17:32:20.121  4250 23277 D frontRightVelocity: : 1700.0
03-08 17:32:20.151  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.151  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.151  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.151  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.161  4250 23277 D backLeftVelocity: : 1700.0
03-08 17:32:20.161  4250 23277 D backRightVelocity: : 1760.0
03-08 17:32:20.161  4250 23277 D frontLeftVelocity: : 1720.0
03-08 17:32:20.171  4250 23277 D frontRightVelocity: : 1740.0
03-08 17:32:20.191  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.191  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.191  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.191  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.201  4250 23277 D backLeftVelocity: : 1760.0
03-08 17:32:20.201  4250 23277 D backRightVelocity: : 1760.0
03-08 17:32:20.211  4250 23277 D frontLeftVelocity: : 1780.0
03-08 17:32:20.211  4250 23277 D frontRightVelocity: : 1740.0
03-08 17:32:20.241  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.241  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.241  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.241  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.241  4250 23277 D backLeftVelocity: : 1780.0
03-08 17:32:20.251  4250 23277 D backRightVelocity: : 1780.0
03-08 17:32:20.251  4250 23277 D frontLeftVelocity: : 1760.0
03-08 17:32:20.251  4250 23277 D frontRightVelocity: : 1720.0
03-08 17:32:20.281  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.281  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.281  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.281  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.291  4250 23277 D backLeftVelocity: : 1800.0
03-08 17:32:20.291  4250 23277 D backRightVelocity: : 1760.0
03-08 17:32:20.301  4250 23277 D frontLeftVelocity: : 1760.0
03-08 17:32:20.301  4250 23277 D frontRightVelocity: : 1680.0
03-08 17:32:20.331  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.331  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.331  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.331  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.341  4250 23277 D backLeftVelocity: : 1720.0
03-08 17:32:20.341  4250 23277 D backRightVelocity: : 1740.0
03-08 17:32:20.351  4250 23277 D frontLeftVelocity: : 1740.0
03-08 17:32:20.351  4250 23277 D frontRightVelocity: : 1700.0
03-08 17:32:20.381  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.391  4250 23277 D backRightPower: : 0.7069256756756758
03-08 17:32:20.391  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.391  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.391  4250 23277 D backLeftVelocity: : 1780.0
03-08 17:32:20.391  4250 23277 D backRightVelocity: : 1760.0
03-08 17:32:20.401  4250 23277 D frontLeftVelocity: : 1780.0
03-08 17:32:20.401  4250 23277 D frontRightVelocity: : 1760.0
03-08 17:32:20.441  4250 23277 D backLeftPower: : 0.7071067811865476
03-08 17:32:20.441  4250 23277 D backRightPower: : 0.7071067811865475
03-08 17:32:20.441  4250 23277 D frontLeftPower: : 0.7071067811865475
03-08 17:32:20.441  4250 23277 D frontRightPower: : 0.7071067811865476
03-08 17:32:20.451  4250 23277 D backLeftVelocity: : 1740.0
03-08 17:32:20.451  4250 23277 D backRightVelocity: : 1760.0
03-08 17:32:20.461  4250 23277 D frontLeftVelocity: : 1740.0
03-08 17:32:20.471  4250 23277 D frontRightVelocity: : 1720.0
03-08 17:32:20.501  4250 23277 D backLeftPower: : 0.6304076933853315
03-08 17:32:20.511  4250 23277 D backRightPower: : 0.6304076933853314
03-08 17:32:20.511  4250 23277 D frontLeftPower: : 0.6304076933853314
03-08 17:32:20.511  4250 23277 D frontRightPower: : 0.6304076933853315
03-08 17:32:20.511  4250 23277 D backLeftVelocity: : 1780.0
03-08 17:32:20.521  4250 23277 D backRightVelocity: : 1820.0
03-08 17:32:20.521  4250 23277 D frontLeftVelocity: : 1720.0
03-08 17:32:20.531  4250 23277 D frontRightVelocity: : 1660.0
03-08 17:32:20.561  4250 23277 D backLeftPower: : 0.6304076933853315
03-08 17:32:20.561  4250 23277 D backRightPower: : 0.6304076933853314
03-08 17:32:20.561  4250 23277 D frontLeftPower: : 0.6304076933853314
03-08 17:32:20.561  4250 23277 D frontRightPower: : 0.6304076933853315
03-08 17:32:20.561  4250 23277 D backLeftVelocity: : 1740.0
03-08 17:32:20.571  4250 23277 D backRightVelocity: : 1740.0
03-08 17:32:20.581  4250 23277 D frontLeftVelocity: : 1740.0
03-08 17:32:20.581  4250 23277 D frontRightVelocity: : 1700.0
03-08 17:32:20.651  4250 23277 D backLeftPower: : 0.22331242158351586
03-08 17:32:20.651  4250 23277 D backRightPower: : 0.22331242158351583
03-08 17:32:20.651  4250 23277 D frontLeftPower: : 0.22331242158351583
03-08 17:32:20.651  4250 23277 D frontRightPower: : 0.22331242158351586
03-08 17:32:20.661  4250 23277 D backLeftVelocity: : 1740.0
03-08 17:32:20.661  4250 23277 D backRightVelocity: : 1720.0
03-08 17:32:20.671  4250 23277 D frontLeftVelocity: : 1720.0
03-08 17:32:20.671  4250 23277 D frontRightVelocity: : 1660.0
03-08 17:32:20.731  4250 23277 D backLeftPower: : 0.0
03-08 17:32:20.731  4250 23277 D backRightPower: : 0.0
03-08 17:32:20.731  4250 23277 D frontLeftPower: : 0.0
03-08 17:32:20.731  4250 23277 D frontRightPower: : 0.0
03-08 17:32:20.731  4250 23277 D backLeftVelocity: : 1240.0
03-08 17:32:20.731  4250 23277 D backRightVelocity: : 1140.0
03-08 17:32:20.741  4250 23277 D frontLeftVelocity: : 1080.0
03-08 17:32:20.741  4250 23277 D frontRightVelocity: : 1060.0
03-08 17:32:20.771  4250 23277 D backLeftPower: : 0.0
03-08 17:32:20.771  4250 23277 D backRightPower: : 0.0
03-08 17:32:20.771  4250 23277 D frontLeftPower: : 0.0
03-08 17:32:20.771  4250 23277 D frontRightPower: : 0.0
03-08 17:32:20.781  4250 23277 D backLeftVelocity: : 460.0
03-08 17:32:20.781  4250 23277 D backRightVelocity: : 380.0
03-08 17:32:20.801  4250 23277 D frontLeftVelocity: : 1180.0
03-08 17:32:20.801  4250 23277 D frontRightVelocity: : 940.0
03-08 17:32:20.831  4250 23277 D backLeftPower: : 0.0
03-08 17:32:20.831  4250 23277 D backRightPower: : 0.0
03-08 17:32:20.831  4250 23277 D frontLeftPower: : 0.0
03-08 17:32:20.831  4250 23277 D frontRightPower: : 0.0
03-08 17:32:20.831  4250 23277 D backLeftVelocity: : 460.0
03-08 17:32:20.841  4250 23277 D backRightVelocity: : 300.0
03-08 17:32:20.841  4250 23277 D frontLeftVelocity: : 900.0
03-08 17:32:20.851  4250 23277 D frontRightVelocity: : 720.0
03-08 17:32:20.891  4250 23277 D backLeftPower: : 0.0
03-08 17:32:20.891  4250 23277 D backRightPower: : -0.1820128933150848
03-08 17:32:20.901  4250 23277 D frontLeftPower: : -0.1820128933150848
03-08 17:32:20.901  4250 23277 D frontRightPower: : -0.18201289331508486
03-08 17:32:20.901  4250 23277 D backLeftVelocity: : 380.0
03-08 17:32:20.901  4250 23277 D backRightVelocity: : 220.0
03-08 17:32:20.911  4250 23277 D frontLeftVelocity: : 780.0
03-08 17:32:20.911  4250 23277 D frontRightVelocity: : 700.0
03-08 17:32:20.941  4250 23277 D backLeftPower: : -0.18201289331508486
03-08 17:32:20.941  4250 23277 D backRightPower: : -0.1820128933150848
03-08 17:32:20.941  4250 23277 D frontLeftPower: : -0.1820128933150848
03-08 17:32:20.941  4250 23277 D frontRightPower: : -0.18201289331508486
03-08 17:32:20.941  4250 23277 D backLeftVelocity: : 460.0
03-08 17:32:20.951  4250 23277 D backRightVelocity: : 280.0
03-08 17:32:20.951  4250 23277 D frontLeftVelocity: : 580.0
03-08 17:32:20.961  4250 23277 D frontRightVelocity: : 480.0
03-08 17:32:21.011  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.011  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.011  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.011  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.021  4250 23277 D backLeftVelocity: : -0.0
03-08 17:32:21.021  4250 23277 D backRightVelocity: : -60.0
03-08 17:32:21.041  4250 23277 D frontLeftVelocity: : 200.0
03-08 17:32:21.041  4250 23277 D frontRightVelocity: : 120.0
03-08 17:32:21.111  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.111  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.111  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.111  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.111  4250 23277 D backLeftVelocity: : -920.0
03-08 17:32:21.121  4250 23277 D backRightVelocity: : -1040.0
03-08 17:32:21.121  4250 23277 D frontLeftVelocity: : -180.0
03-08 17:32:21.131  4250 23277 D frontRightVelocity: : -180.0
03-08 17:32:21.161  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.161  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.161  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.161  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.161  4250 23277 D backLeftVelocity: : -860.0
03-08 17:32:21.161  4250 23277 D backRightVelocity: : -1000.0
03-08 17:32:21.171  4250 23277 D frontLeftVelocity: : -420.0
03-08 17:32:21.171  4250 23277 D frontRightVelocity: : -300.0
03-08 17:32:21.211  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.211  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.211  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.211  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.211  4250 23277 D backLeftVelocity: : -880.0
03-08 17:32:21.221  4250 23277 D backRightVelocity: : -980.0
03-08 17:32:21.221  4250 23277 D frontLeftVelocity: : -580.0
03-08 17:32:21.231  4250 23277 D frontRightVelocity: : -660.0
03-08 17:32:21.251  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.251  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.251  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.251  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.261  4250 23277 D backLeftVelocity: : -900.0
03-08 17:32:21.261  4250 23277 D backRightVelocity: : -1020.0
03-08 17:32:21.271  4250 23277 D frontLeftVelocity: : -760.0
03-08 17:32:21.281  4250 23277 D frontRightVelocity: : -780.0
03-08 17:32:21.311  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.311  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.311  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.311  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.311  4250 23277 D backLeftVelocity: : -940.0
03-08 17:32:21.321  4250 23277 D backRightVelocity: : -1180.0
03-08 17:32:21.321  4250 23277 D frontLeftVelocity: : -960.0
03-08 17:32:21.331  4250 23277 D frontRightVelocity: : -940.0
03-08 17:32:21.371  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.371  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.371  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.371  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.371  4250 23277 D backLeftVelocity: : -1080.0
03-08 17:32:21.381  4250 23277 D backRightVelocity: : -1220.0
03-08 17:32:21.391  4250 23277 D frontLeftVelocity: : -1100.0
03-08 17:32:21.391  4250 23277 D frontRightVelocity: : -1080.0
03-08 17:32:21.421  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.421  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.421  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.421  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.421  4250 23277 D backLeftVelocity: : -1200.0
03-08 17:32:21.421  4250 23277 D backRightVelocity: : -1240.0
03-08 17:32:21.431  4250 23277 D frontLeftVelocity: : -1180.0
03-08 17:32:21.431  4250 23277 D frontRightVelocity: : -1140.0
03-08 17:32:21.451  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.451  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.451  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.451  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.461  4250 23277 D backLeftVelocity: : -1260.0
03-08 17:32:21.461  4250 23277 D backRightVelocity: : -1220.0
03-08 17:32:21.471  4250 23277 D frontLeftVelocity: : -1260.0
03-08 17:32:21.471  4250 23277 D frontRightVelocity: : -1200.0
03-08 17:32:21.491  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.491  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.491  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.491  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.501  4250 23277 D backLeftVelocity: : -1300.0
03-08 17:32:21.501  4250 23277 D backRightVelocity: : -1280.0
03-08 17:32:21.511  4250 23277 D frontLeftVelocity: : -1320.0
03-08 17:32:21.521  4250 23277 D frontRightVelocity: : -1300.0
03-08 17:32:21.581  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.581  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.581  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.581  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.581  4250 23277 D backLeftVelocity: : -1380.0
03-08 17:32:21.591  4250 23277 D backRightVelocity: : -1460.0
03-08 17:32:21.591  4250 23277 D frontLeftVelocity: : -1440.0
03-08 17:32:21.601  4250 23277 D frontRightVelocity: : -1460.0
03-08 17:32:21.651  4250 23277 D backLeftPower: : -0.49240088927933257
03-08 17:32:21.651  4250 23277 D backRightPower: : -0.9218126730937626
03-08 17:32:21.651  4250 23277 D frontLeftPower: : -0.49240088927933234
03-08 17:32:21.651  4250 23277 D frontRightPower: : -0.9218126730937628
03-08 17:32:21.661  4250 23277 D backLeftVelocity: : -1480.0
03-08 17:32:21.661  4250 23277 D backRightVelocity: : -1520.0
03-08 17:32:21.671  4250 23277 D frontLeftVelocity: : -1420.0
03-08 17:32:21.671  4250 23277 D frontRightVelocity: : -1680.0
03-08 17:32:21.721  4250 23277 D backLeftPower: : -0.689459723414865
03-08 17:32:21.721  4250 23277 D backRightPower: : -0.7247538389582302
03-08 17:32:21.721  4250 23277 D frontLeftPower: : -0.6894597234148647
03-08 17:32:21.721  4250 23277 D frontRightPower: : -0.7247538389582304
03-08 17:32:21.731  4250 23277 D backLeftVelocity: : -1360.0
03-08 17:32:21.731  4250 23277 D backRightVelocity: : -1820.0
03-08 17:32:21.741  4250 23277 D frontLeftVelocity: : -1380.0
03-08 17:32:21.741  4250 23277 D frontRightVelocity: : -1880.0
03-08 17:32:21.781  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.781  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.781  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.781  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.791  4250 23277 D backLeftVelocity: : -1560.0
03-08 17:32:21.791  4250 23277 D backRightVelocity: : -1760.0
03-08 17:32:21.791  4250 23277 D frontLeftVelocity: : -1420.0
03-08 17:32:21.801  4250 23277 D frontRightVelocity: : -1800.0
03-08 17:32:21.821  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.821  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.821  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.831  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.831  4250 23277 D backLeftVelocity: : -1520.0
03-08 17:32:21.831  4250 23277 D backRightVelocity: : -1680.0
03-08 17:32:21.841  4250 23277 D frontLeftVelocity: : -1520.0
03-08 17:32:21.851  4250 23277 D frontRightVelocity: : -1760.0
03-08 17:32:21.891  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.891  4250 23277 D backRightPower: : -0.7071067811865475
03-08 17:32:21.891  4250 23277 D frontLeftPower: : -0.7071067811865475
03-08 17:32:21.891  4250 23277 D frontRightPower: : -0.7071067811865477
03-08 17:32:21.891  4250 23277 D backLeftVelocity: : -1600.0
03-08 17:32:21.901  4250 23277 D backRightVelocity: : -1680.0
03-08 17:32:21.901  4250 23277 D frontLeftVelocity: : -1640.0
03-08 17:32:21.901  4250 23277 D frontRightVelocity: : -1800.0
03-08 17:32:21.931  4250 23277 D backLeftPower: : -0.7071067811865477
03-08 17:32:21.931  4250 23277 D backRightPower: : -0.7071067811865475
