cmd logfilename ps_name
u0_a198   4250  373   1845928 89108 sys_epoll_ 00000000 S com.qualcomm.ftcrobotcontroller
4250
03-08 16:24:25.711   928  1585 I am_proc_start: [0,4250,10198,com.qualcomm.ftcrobotcontroller,activity,com.qualcomm.ftcrobotcontroller/org.firstinspires.ftc.robotcontroller.internal.FtcRobotControllerActivity]
03-08 16:36:41.951  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.951  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:41.951  4250 15854 D backLeftVelocity: : 1640.0
03-08 16:36:41.961  4250 15854 D backRightVelocity: : 1660.0
03-08 16:36:41.961  4250 15854 D frontLeftVelocity: : 1620.0
03-08 16:36:41.971  4250 15854 D frontRightVelocity: : 1660.0
03-08 16:36:41.991  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:41.991  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:41.991  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:41.991  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.001  4250 15854 D backLeftVelocity: : 1660.0
03-08 16:36:42.001  4250 15854 D backRightVelocity: : 1680.0
03-08 16:36:42.001  4250 15854 D frontLeftVelocity: : 1660.0
03-08 16:36:42.011  4250 15854 D frontRightVelocity: : 1660.0
03-08 16:36:42.041  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.041  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.041  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.041  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.041  4250 15854 D backLeftVelocity: : 1620.0
03-08 16:36:42.051  4250 15854 D backRightVelocity: : 1700.0
03-08 16:36:42.051  4250 15854 D frontLeftVelocity: : 1680.0
03-08 16:36:42.061  4250 15854 D frontRightVelocity: : 1640.0
03-08 16:36:42.091  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.091  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.091  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.091  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.091  4250 15854 D backLeftVelocity: : 1660.0
03-08 16:36:42.101  4250 15854 D backRightVelocity: : 1720.0
03-08 16:36:42.121  4250 15854 D frontLeftVelocity: : 1680.0
03-08 16:36:42.131  4250 15854 D frontRightVelocity: : 1720.0
03-08 16:36:42.161  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.161  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.161  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.161  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.161  4250 15854 D backLeftVelocity: : 1740.0
03-08 16:36:42.171  4250 15854 D backRightVelocity: : 1720.0
03-08 16:36:42.171  4250 15854 D frontLeftVelocity: : 1720.0
03-08 16:36:42.181  4250 15854 D frontRightVelocity: : 1740.0
03-08 16:36:42.201  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.201  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.201  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.201  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.201  4250 15854 D backLeftVelocity: : 1720.0
03-08 16:36:42.211  4250 15854 D backRightVelocity: : 1720.0
03-08 16:36:42.211  4250 15854 D frontLeftVelocity: : 1740.0
03-08 16:36:42.221  4250 15854 D frontRightVelocity: : 1700.0
03-08 16:36:42.241  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.241  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.241  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.241  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.241  4250 15854 D backLeftVelocity: : 1700.0
03-08 16:36:42.241  4250 15854 D backRightVelocity: : 1740.0
03-08 16:36:42.251  4250 15854 D frontLeftVelocity: : 1720.0
03-08 16:36:42.251  4250 15854 D frontRightVelocity: : 1700.0
03-08 16:36:42.281  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.281  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.281  4250 15854 D frontLeftPower: : 0.7071067811865475
03-08 16:36:42.281  4250 15854 D frontRightPower: : 0.7071067811865476
03-08 16:36:42.291  4250 15854 D backLeftVelocity: : 1720.0
03-08 16:36:42.291  4250 15854 D backRightVelocity: : 1760.0
03-08 16:36:42.301  4250 15854 D frontLeftVelocity: : 1760.0
03-08 16:36:42.301  4250 15854 D frontRightVelocity: : 1720.0
03-08 16:36:42.341  4250 15854 D backLeftPower: : 0.7071067811865476
03-08 16:36:42.341  4250 15854 D backRightPower: : 0.7071067811865475
03-08 16:36:42.341  4250 15854 D frontLeftPower: : 0.7071067811865475
